Id,Label,timeset,componentnumber,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1943,XiwuGu,,0,6,1,1,1,0
1616,V.Vishwanath,,1,10,10,0.191472,0.226468,0.000232
2015,"Maltzahn,Carlos",,2,6,6,0.330508,0.447863,0
228,"Chen,Wenzhi",,3,2,1,1,1,0
1288,"Davis,Kei",,4,4,1,1,1,0
634,Y.I.Eom,,1,5,13,0.117357,0.137131,0.000502
120,DanFeng,,5,15,1,1,1,0.000041
41,Y.Zhu,,1,12,11,0.18572,0.223923,0.003335
1908,"Sreenivas,RavellaC.",,6,4,1,1,1,0
564,S.Wu,,1,8,10,0.191472,0.225848,0.001733
1489,K.Keahey,,7,2,1,1,1,0
1265,L.Jahan,,1,7,13,0.130268,0.151717,0
379,R.Lee,,1,14,9,0.213071,0.2506,0
1492,XingkongMa,,8,2,1,1,1,0
2178,"Du,Congjin",,9,4,2,0.6,0.666667,0
2184,"Lee,Dong-Hwan",,10,5,1,1,1,0
1801,J.He,,1,4,12,0.163912,0.189986,0
11,B.Marks,,11,1,1,1,1,0
866,"Gui,Chao",,12,3,1,1,1,0
144,P.Desnoyers,,1,4,11,0.170426,0.199888,0
630,"Lee,H.",,13,4,1,1,1,0
1386,K.T.Malladi,,14,2,1,1,1,0
1236,V.Talwar,,1,5,12,0.138252,0.156138,0
777,"Zou,Nianjun",,15,6,1,1,1,0
529,H.Eom,,1,6,10,0.164535,0.19942,0.000548
176,"Seo,Euiseong",,16,5,1,1,1,0
76,"Han,Wen-Bing",,17,6,1,1,1,0
961,S.Srikantaiah,,1,3,10,0.171841,0.198215,0
1547,"Dillow,D.A.",,18,5,4,0.5,0.576389,0.000014
569,"Hwang,Yeonseong",,19,2,5,0.357143,0.478333,0
1577,S.Zeng,,1,2,10,0.172902,0.18981,0
42,J.Wang,,1,11,11,0.174487,0.209522,0.003939
268,"Wong,Ping",,20,9,2,0.655172,0.736842,0
257,SoumyaSaha,,21,2,1,1,1,0
735,C.Gao,,1,6,9,0.201866,0.233926,0.000348
2124,HamzaOuarnoughi,,22,4,2,0.666667,0.75,0
1825,H.Nguyen,,23,1,1,1,1,0
